Team,Opponent,Season,State,Game_Type,Venue,Venue_City,Month,Date,Team_Score,Opponent_Score,Win,Result
Richmond,Carlton,2010,VIC,Home,M.C.G.,Melbourne,March,2010-03-25 19:10,64,120,0,L
Carlton,Richmond,2010,VIC,Away,M.C.G.,Melbourne,March,2010-03-25 19:10,120,64,1,W
Geelong,Essendon,2010,VIC,Home,M.C.G.,Melbourne,March,2010-03-26 19:40,125,94,1,W
Essendon,Geelong,2010,VIC,Away,M.C.G.,Melbourne,March,2010-03-26 19:40,94,125,0,L
Melbourne,Hawthorn,2010,VIC,Home,M.C.G.,Melbourne,March,2010-03-27 14:10,61,117,0,L
Hawthorn,Melbourne,2010,VIC,Away,M.C.G.,Melbourne,March,2010-03-27 14:10,117,61,1,W
Sydney,St Kilda,2010,NSW,Home,Stadium Australia,Sydney,March,2010-03-27 19:10,88,96,0,L
St Kilda,Sydney,2010,VIC,Away,Stadium Australia,Sydney,March,2010-03-27 19:10,96,88,1,W
Brisbane Lions,West Coast,2010,QLD,Home,Gabba,Brisbane,March,2010-03-27 19:10,114,82,1,W
West Coast,Brisbane Lions,2010,WA,Away,Gabba,Brisbane,March,2010-03-27 19:10,82,114,0,L
Port Adelaide,North Melbourne,2010,SA,Home,Football Park,Adelaide,March,2010-03-28 12:40,96,82,1,W
North Melbourne,Port Adelaide,2010,VIC,Away,Football Park,Adelaide,March,2010-03-28 12:40,82,96,0,L
Western Bulldogs,Collingwood,2010,VIC,Home,Docklands,Melbourne,March,2010-03-28 14:10,93,129,0,L
Collingwood,Western Bulldogs,2010,VIC,Away,Docklands,Melbourne,March,2010-03-28 14:10,129,93,1,W
Fremantle,Adelaide,2010,WA,Home,Subiaco,Perth,March,2010-03-28 17:10,118,62,1,W
Adelaide,Fremantle,2010,SA,Away,Subiaco,Perth,March,2010-03-28 17:10,62,118,0,L
Brisbane Lions,Carlton,2010,QLD,Home,Gabba,Brisbane,April,2010-04-01 19:40,107,88,1,W
Carlton,Brisbane Lions,2010,VIC,Away,Gabba,Brisbane,April,2010-04-01 19:40,88,107,0,L
Collingwood,Melbourne,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-03 14:10,86,85,1,W
Melbourne,Collingwood,2010,VIC,Away,M.C.G.,Melbourne,April,2010-04-03 14:10,85,86,0,L
St Kilda,North Melbourne,2010,VIC,Home,Docklands,Melbourne,April,2010-04-03 19:10,143,39,1,W
North Melbourne,St Kilda,2010,VIC,Away,Docklands,Melbourne,April,2010-04-03 19:10,39,143,0,L
West Coast,Port Adelaide,2010,WA,Home,Subiaco,Perth,April,2010-04-03 17:40,86,89,0,L
Port Adelaide,West Coast,2010,SA,Away,Subiaco,Perth,April,2010-04-03 17:40,89,86,1,W
Adelaide,Sydney,2010,SA,Home,Football Park,Adelaide,April,2010-04-04 12:40,75,118,0,L
Sydney,Adelaide,2010,NSW,Away,Football Park,Adelaide,April,2010-04-04 12:40,118,75,1,W
Essendon,Fremantle,2010,VIC,Home,Docklands,Melbourne,April,2010-04-04 14:10,69,113,0,L
Fremantle,Essendon,2010,WA,Away,Docklands,Melbourne,April,2010-04-04 14:10,113,69,1,W
Richmond,Western Bulldogs,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-04 16:40,48,120,0,L
Western Bulldogs,Richmond,2010,VIC,Away,M.C.G.,Melbourne,April,2010-04-04 16:40,120,48,1,W
Hawthorn,Geelong,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-05 14:10,91,100,0,L
Geelong,Hawthorn,2010,VIC,Away,M.C.G.,Melbourne,April,2010-04-05 14:10,100,91,1,W
St Kilda,Collingwood,2010,VIC,Home,Docklands,Melbourne,April,2010-04-09 19:40,69,41,1,W
Collingwood,St Kilda,2010,VIC,Away,Docklands,Melbourne,April,2010-04-09 19:40,41,69,0,L
North Melbourne,West Coast,2010,VIC,Home,Docklands,Melbourne,April,2010-04-10 14:10,116,91,1,W
West Coast,North Melbourne,2010,WA,Away,Docklands,Melbourne,April,2010-04-10 14:10,91,116,0,L
Port Adelaide,Brisbane Lions,2010,SA,Home,Football Park,Adelaide,April,2010-04-10 14:40,81,108,0,L
Brisbane Lions,Port Adelaide,2010,QLD,Away,Football Park,Adelaide,April,2010-04-10 14:40,108,81,1,W
Carlton,Essendon,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-10 19:10,75,95,0,L
Essendon,Carlton,2010,VIC,Away,M.C.G.,Melbourne,April,2010-04-10 19:10,95,75,1,W
Sydney,Richmond,2010,NSW,Home,S.C.G.,Sydney,April,2010-04-10 19:10,111,56,1,W
Richmond,Sydney,2010,VIC,Away,S.C.G.,Sydney,April,2010-04-10 19:10,56,111,0,L
Melbourne,Adelaide,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-11 13:10,57,41,1,W
Adelaide,Melbourne,2010,SA,Away,M.C.G.,Melbourne,April,2010-04-11 13:10,41,57,0,L
Western Bulldogs,Hawthorn,2010,VIC,Home,Docklands,Melbourne,April,2010-04-11 14:10,100,84,1,W
Hawthorn,Western Bulldogs,2010,VIC,Away,Docklands,Melbourne,April,2010-04-11 14:10,84,100,0,L
Fremantle,Geelong,2010,WA,Home,Subiaco,Perth,April,2010-04-11 14:40,125,118,1,W
Geelong,Fremantle,2010,VIC,Away,Subiaco,Perth,April,2010-04-11 14:40,118,125,0,L
West Coast,Essendon,2010,WA,Home,Subiaco,Perth,April,2010-04-16 18:40,101,78,1,W
Essendon,West Coast,2010,VIC,Away,Subiaco,Perth,April,2010-04-16 18:40,78,101,0,L
North Melbourne,Sydney,2010,VIC,Home,Docklands,Melbourne,April,2010-04-17 14:10,60,100,0,L
Sydney,North Melbourne,2010,NSW,Away,Docklands,Melbourne,April,2010-04-17 14:10,100,60,1,W
Adelaide,Carlton,2010,SA,Home,Football Park,Adelaide,April,2010-04-17 14:40,55,103,0,L
Carlton,Adelaide,2010,VIC,Away,Football Park,Adelaide,April,2010-04-17 14:40,103,55,1,W
Collingwood,Hawthorn,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-17 19:10,123,59,1,W
Hawthorn,Collingwood,2010,VIC,Away,M.C.G.,Melbourne,April,2010-04-17 19:10,59,123,0,L
Brisbane Lions,Western Bulldogs,2010,QLD,Home,Gabba,Brisbane,April,2010-04-17 19:10,101,79,1,W
Western Bulldogs,Brisbane Lions,2010,VIC,Away,Gabba,Brisbane,April,2010-04-17 19:10,79,101,0,L
Richmond,Melbourne,2010,VIC,Home,M.C.G.,Melbourne,April,2010-04-18 13:10,78,133,0,L
Melbourne,Richmond,2010,VIC,Away,M.C.G.,Melbourne,April,2010-04-18 13:10,133,78,1,W
