Team,Season,State,Home_Wins,Home_Losses,Away_Wins,Away_Losses,Total_Wins,Total_Games,Win_Pct,Home_Win_Pct,Away_Win_Pct
Adelaide,2010,SA,7,4,2,9,9,22,40.91,63.64,18.18
Brisbane Lions,2010,QLD,4,7,3,8,7,22,31.82,36.36,27.27
Carlton,2010,VIC,5,6,6,6,11,23,47.83,45.45,50.0
Collingwood,2010,VIC,13,1,7,3,20,26,76.92,92.86,70.0
Essendon,2010,VIC,4,7,3,8,7,22,31.82,36.36,27.27
Fremantle,2010,WA,9,3,5,7,14,24,58.33,75.0,41.67
Geelong,2010,VIC,11,2,7,5,18,25,72.0,84.62,58.33
Hawthorn,2010,VIC,9,2,3,8,12,23,52.17,81.82,27.27
Melbourne,2010,VIC,6,4,2,9,8,22,36.36,60.0,18.18
North Melbourne,2010,VIC,7,4,4,7,11,22,50.0,63.64,36.36
Port Adelaide,2010,SA,6,5,4,7,10,22,45.45,54.55,36.36
Richmond,2010,VIC,4,7,2,9,6,22,27.27,36.36,18.18
St Kilda,2010,VIC,9,2,8,5,17,26,65.38,81.82,61.54
Sydney,2010,NSW,8,4,6,6,14,24,58.33,66.67,50.0
West Coast,2010,WA,2,9,2,9,4,22,18.18,18.18,18.18
Western Bulldogs,2010,VIC,9,3,6,7,15,25,60.0,75.0,46.15
Adelaide,2011,SA,5,6,2,9,7,22,31.82,45.45,18.18
Brisbane Lions,2011,QLD,3,8,1,10,4,22,18.18,27.27,9.09
Carlton,2011,VIC,6,5,9,3,15,24,62.5,54.55,75.0
Collingwood,2011,VIC,12,2,10,1,22,25,88.0,85.71,90.91
Essendon,2011,VIC,7,4,4,7,11,23,47.83,63.64,36.36
Fremantle,2011,WA,5,6,4,7,9,22,40.91,45.45,36.36
Geelong,2011,VIC,12,1,10,2,22,25,88.0,92.31,83.33
Gold Coast,2011,QLD,1,10,2,9,3,22,13.64,9.09,18.18
Hawthorn,2011,VIC,11,1,8,5,19,25,76.0,91.67,61.54
Melbourne,2011,VIC,5,5,3,8,8,22,36.36,50.0,27.27
North Melbourne,2011,VIC,6,5,4,7,10,22,45.45,54.55,36.36
Port Adelaide,2011,SA,2,9,1,10,3,22,13.64,18.18,9.09
Richmond,2011,VIC,4,7,4,6,8,22,36.36,36.36,40.0
St Kilda,2011,VIC,6,5,6,5,12,23,52.17,54.55,54.55
Sydney,2011,NSW,6,5,7,5,13,24,54.17,54.55,58.33
West Coast,2011,WA,11,1,7,6,18,25,72.0,91.67,53.85
Western Bulldogs,2011,VIC,7,4,2,9,9,22,40.91,63.64,18.18
Adelaide,2012,SA,11,2,7,5,18,25,72.0,84.62,58.33
Brisbane Lions,2012,QLD,6,5,4,7,10,22,45.45,54.55,36.36
Carlton,2012,VIC,5,6,6,5,11,22,50.0,45.45,54.55
Collingwood,2012,VIC,9,3,8,5,17,25,68.0,75.0,61.54
Essendon,2012,VIC,5,6,6,5,11,22,50.0,45.45,54.55
Fremantle,2012,WA,8,3,7,6,15,24,62.5,72.73,53.85
Geelong,2012,VIC,10,2,5,6,15,23,65.22,83.33,45.45
Gold Coast,2012,QLD,2,9,1,10,3,22,13.64,18.18,9.09
Greater Western Sydney,2012,NSW,2,9,0,11,2,22,9.09,18.18,0.0
Hawthorn,2012,VIC,11,3,8,3,19,25,76.0,78.57,72.73
Melbourne,2012,VIC,2,9,2,9,4,22,18.18,18.18,18.18
North Melbourne,2012,VIC,7,4,7,5,14,23,60.87,63.64,58.33
Port Adelaide,2012,SA,3,8,2,8,5,22,22.73,27.27,20.0
Richmond,2012,VIC,5,5,5,6,10,22,45.45,50.0,45.45
St Kilda,2012,VIC,7,4,5,6,12,22,54.55,63.64,45.45
Sydney,2012,NSW,9,3,10,3,19,25,76.0,75.0,76.92
West Coast,2012,WA,11,1,5,7,16,24,66.67,91.67,41.67
Western Bulldogs,2012,VIC,2,9,3,8,5,22,22.73,18.18,27.27
Adelaide,2013,SA,5,6,5,6,10,22,45.45,45.45,45.45
Brisbane Lions,2013,QLD,7,4,3,8,10,22,45.45,63.64,27.27
Carlton,2013,VIC,5,6,7,6,12,24,50.0,45.45,53.85
Collingwood,2013,VIC,8,4,6,5,14,23,60.87,66.67,54.55
Essendon,2013,VIC,6,5,8,3,14,22,63.64,54.55,72.73
Fremantle,2013,WA,11,1,7,5,18,25,72.0,91.67,58.33
Geelong,2013,VIC,12,1,7,5,19,25,76.0,92.31,58.33
Gold Coast,2013,QLD,6,5,2,9,8,22,36.36,54.55,18.18
Greater Western Sydney,2013,NSW,1,10,0,11,1,22,4.55,9.09,0.0
Hawthorn,2013,VIC,12,2,10,1,22,25,88.0,85.71,90.91
Melbourne,2013,VIC,2,9,0,11,2,22,9.09,18.18,0.0
North Melbourne,2013,VIC,6,5,4,7,10,22,45.45,54.55,36.36
Port Adelaide,2013,SA,7,4,6,7,13,24,54.17,63.64,46.15
Richmond,2013,VIC,7,5,8,3,15,23,65.22,58.33,72.73
St Kilda,2013,VIC,4,7,1,10,5,22,22.73,36.36,9.09
Sydney,2013,NSW,8,3,8,5,16,25,64.0,72.73,61.54
West Coast,2013,WA,3,8,6,5,9,22,40.91,27.27,54.55
Western Bulldogs,2013,VIC,5,6,3,8,8,22,36.36,45.45,27.27
Adelaide,2014,SA,6,5,5,6,11,22,50.0,54.55,45.45
Brisbane Lions,2014,QLD,3,8,4,7,7,22,31.82,27.27,36.36
Carlton,2014,VIC,5,5,2,9,7,22,31.82,50.0,18.18
Collingwood,2014,VIC,5,6,6,5,11,22,50.0,45.45,54.55
Essendon,2014,VIC,7,4,5,6,12,23,52.17,63.64,45.45
Fremantle,2014,WA,10,2,6,6,16,24,66.67,83.33,50.0
Geelong,2014,VIC,11,1,6,6,17,24,70.83,91.67,50.0
Gold Coast,2014,QLD,7,4,3,8,10,22,45.45,63.64,27.27
Greater Western Sydney,2014,NSW,3,8,3,8,6,22,27.27,27.27,27.27
Hawthorn,2014,VIC,13,0,7,5,20,25,80.0,100.0,58.33
Melbourne,2014,VIC,0,11,4,7,4,22,18.18,0.0,36.36
North Melbourne,2014,VIC,9,3,7,6,16,25,64.0,75.0,53.85
Port Adelaide,2014,SA,10,2,6,7,16,25,64.0,83.33,46.15
Richmond,2014,VIC,6,5,6,6,12,23,52.17,54.55,50.0
St Kilda,2014,VIC,3,8,1,10,4,22,18.18,27.27,9.09
Sydney,2014,NSW,10,4,9,2,19,25,76.0,71.43,81.82
West Coast,2014,WA,6,5,5,6,11,22,50.0,54.55,45.45
Western Bulldogs,2014,VIC,3,8,4,7,7,22,31.82,27.27,36.36
Adelaide,2015,SA,7,3,7,6,14,23,60.87,70.0,53.85
Brisbane Lions,2015,QLD,3,8,1,10,4,22,18.18,27.27,9.09
Carlton,2015,VIC,3,8,1,10,4,22,18.18,27.27,9.09
Collingwood,2015,VIC,4,7,6,5,10,22,45.45,36.36,54.55
Essendon,2015,VIC,3,8,3,8,6,22,27.27,27.27,27.27
Fremantle,2015,WA,10,3,8,3,18,24,75.0,76.92,72.73
Geelong,2015,VIC,6,5,5,4,11,21,52.38,54.55,55.56
Gold Coast,2015,QLD,3,7,1,10,4,22,18.18,30.0,9.09
Greater Western Sydney,2015,NSW,8,3,3,8,11,22,50.0,72.73,27.27
Hawthorn,2015,VIC,9,3,10,4,19,26,73.08,75.0,71.43
Melbourne,2015,VIC,4,7,3,8,7,22,31.82,36.36,27.27
North Melbourne,2015,VIC,7,4,8,6,15,25,60.0,63.64,57.14
Port Adelaide,2015,SA,6,5,6,5,12,22,54.55,54.55,54.55
Richmond,2015,VIC,6,6,9,2,15,23,65.22,50.0,81.82
St Kilda,2015,VIC,1,9,5,6,6,22,27.27,10.0,45.45
Sydney,2015,NSW,8,4,8,4,16,24,66.67,66.67,66.67
West Coast,2015,WA,11,3,7,3,18,25,72.0,78.57,70.0
Western Bulldogs,2015,VIC,9,3,5,6,14,23,60.87,75.0,45.45
Adelaide,2016,SA,10,2,7,5,17,24,70.83,83.33,58.33
Brisbane Lions,2016,QLD,2,9,1,10,3,22,13.64,18.18,9.09
Carlton,2016,VIC,5,6,2,9,7,22,31.82,45.45,18.18
Collingwood,2016,VIC,6,5,3,8,9,22,40.91,54.55,27.27
Essendon,2016,VIC,3,8,0,11,3,22,13.64,27.27,0.0
Fremantle,2016,WA,3,8,1,10,4,22,18.18,27.27,9.09
Geelong,2016,VIC,11,2,7,4,18,24,75.0,84.62,63.64
Gold Coast,2016,QLD,5,6,1,10,6,22,27.27,45.45,9.09
Greater Western Sydney,2016,NSW,9,3,8,4,17,24,70.83,75.0,66.67
Hawthorn,2016,VIC,10,2,7,5,17,24,70.83,83.33,58.33
Melbourne,2016,VIC,7,4,3,8,10,22,45.45,63.64,27.27
North Melbourne,2016,VIC,7,4,5,7,12,23,52.17,63.64,41.67
Port Adelaide,2016,SA,4,7,6,5,10,22,45.45,36.36,54.55
Richmond,2016,VIC,6,5,2,9,8,22,36.36,54.55,18.18
St Kilda,2016,VIC,7,4,5,6,12,22,54.55,63.64,45.45
Sydney,2016,NSW,10,4,9,3,19,26,73.08,71.43,75.0
West Coast,2016,WA,10,2,6,5,16,23,69.57,83.33,54.55
Western Bulldogs,2016,VIC,8,3,11,4,19,26,73.08,72.73,73.33
Adelaide,2017,SA,10,4,7,3,17,25,68.0,71.43,70.0
Brisbane Lions,2017,QLD,3,8,2,9,5,22,22.73,27.27,18.18
Carlton,2017,VIC,4,7,2,9,6,22,27.27,36.36,18.18
Collingwood,2017,VIC,4,6,5,6,9,22,40.91,40.0,45.45
Essendon,2017,VIC,8,3,4,8,12,23,52.17,72.73,33.33
Fremantle,2017,WA,5,6,3,8,8,22,36.36,45.45,27.27
Geelong,2017,VIC,10,3,6,5,16,25,64.0,76.92,54.55
Gold Coast,2017,QLD,4,7,2,9,6,22,27.27,36.36,18.18
Greater Western Sydney,2017,NSW,10,1,5,7,15,25,60.0,90.91,41.67
Hawthorn,2017,VIC,6,4,4,7,10,22,45.45,60.0,36.36
Melbourne,2017,VIC,6,5,6,5,12,22,54.55,54.55,54.55
North Melbourne,2017,VIC,3,8,3,8,6,22,27.27,27.27,27.27
Port Adelaide,2017,SA,8,3,6,5,14,22,63.64,72.73,54.55
Richmond,2017,VIC,10,2,8,5,18,25,72.0,83.33,61.54
St Kilda,2017,VIC,7,4,4,7,11,22,50.0,63.64,36.36
Sydney,2017,NSW,8,4,7,5,15,24,62.5,66.67,58.33
West Coast,2017,WA,8,3,4,8,12,23,52.17,72.73,33.33
Western Bulldogs,2017,VIC,7,4,4,7,11,22,50.0,63.64,36.36
Adelaide,2018,SA,8,3,4,7,12,22,54.55,72.73,36.36
Brisbane Lions,2018,QLD,2,9,3,8,5,22,22.73,18.18,27.27
Carlton,2018,VIC,1,10,1,10,2,22,9.09,9.09,9.09
Collingwood,2018,VIC,8,4,9,5,17,26,65.38,66.67,64.29
Essendon,2018,VIC,7,4,5,6,12,22,54.55,63.64,45.45
Fremantle,2018,WA,6,5,2,9,8,22,36.36,54.55,18.18
Geelong,2018,VIC,8,3,5,7,13,23,56.52,72.73,41.67
Gold Coast,2018,QLD,1,10,3,8,4,22,18.18,9.09,27.27
Greater Western Sydney,2018,NSW,8,3,6,6,14,24,58.33,72.73,50.0
Hawthorn,2018,VIC,8,4,7,5,15,24,62.5,66.67,58.33
Melbourne,2018,VIC,7,5,9,4,16,25,64.0,58.33,69.23
North Melbourne,2018,VIC,7,4,5,6,12,22,54.55,63.64,45.45
Port Adelaide,2018,SA,7,4,5,6,12,22,54.55,63.64,45.45
Richmond,2018,VIC,12,1,7,4,19,24,79.17,92.31,63.64
St Kilda,2018,VIC,2,8,2,9,4,22,18.18,20.0,18.18
Sydney,2018,NSW,5,7,9,2,14,23,60.87,41.67,81.82
West Coast,2018,WA,11,3,8,3,19,25,76.0,78.57,72.73
Western Bulldogs,2018,VIC,5,6,3,8,8,22,36.36,45.45,27.27
Adelaide,2019,SA,5,6,5,6,10,22,45.45,45.45,45.45
Brisbane Lions,2019,QLD,10,3,6,5,16,24,66.67,76.92,54.55
Carlton,2019,VIC,4,7,3,8,7,22,31.82,36.36,27.27
Collingwood,2019,VIC,6,6,10,2,16,24,66.67,50.0,83.33
Essendon,2019,VIC,7,4,5,7,12,23,52.17,63.64,41.67
Fremantle,2019,WA,7,4,2,9,9,22,40.91,63.64,18.18
Geelong,2019,VIC,10,3,7,5,17,25,68.0,76.92,58.33
Gold Coast,2019,QLD,2,9,1,10,3,22,13.64,18.18,9.09
Greater Western Sydney,2019,NSW,8,4,8,6,16,26,61.54,66.67,57.14
Hawthorn,2019,VIC,7,4,4,7,11,22,50.0,63.64,36.36
Melbourne,2019,VIC,2,9,3,8,5,22,22.73,18.18,27.27
North Melbourne,2019,VIC,6,5,4,7,10,22,45.45,54.55,36.36
Port Adelaide,2019,SA,6,5,5,6,11,22,50.0,54.55,45.45
Richmond,2019,VIC,11,2,8,4,19,25,76.0,84.62,66.67
St Kilda,2019,VIC,6,5,3,8,9,22,40.91,54.55,27.27
Sydney,2019,NSW,5,6,3,8,8,22,36.36,45.45,27.27
West Coast,2019,WA,9,3,7,5,16,24,66.67,75.0,58.33
Western Bulldogs,2019,VIC,7,4,5,7,12,23,52.17,63.64,41.67
Adelaide,2020,SA,1,8,2,6,3,17,17.65,11.11,25.0
Brisbane Lions,2020,QLD,10,1,5,3,15,19,78.95,90.91,62.5
Carlton,2020,VIC,2,6,5,4,7,17,41.18,25.0,55.56
Collingwood,2020,VIC,5,2,5,6,10,19,52.63,71.43,45.45
Essendon,2020,VIC,2,6,4,4,6,17,35.29,25.0,50.0
Fremantle,2020,WA,4,6,3,4,7,17,41.18,40.0,42.86
Geelong,2020,VIC,7,3,7,4,14,21,66.67,70.0,63.64
Gold Coast,2020,QLD,4,5,1,6,5,17,29.41,44.44,14.29
Greater Western Sydney,2020,NSW,5,3,3,6,8,17,47.06,62.5,33.33
