Team,Season,State,Total_KM_Travelled,Wins,Games_Played,Win_Pct
Adelaide,2010,SA,21652,9,22,40.91
Brisbane Lions,2010,QLD,34978,7,22,31.82
Carlton,2010,VIC,17678,11,23,47.83
Collingwood,2010,VIC,10926,20,26,76.92
Essendon,2010,VIC,8178,7,22,31.82
Fremantle,2010,WA,62088,14,24,58.33
Geelong,2010,VIC,17284,18,25,72.0
Hawthorn,2010,VIC,13622,12,23,52.17
Melbourne,2010,VIC,10938,8,22,36.36
North Melbourne,2010,VIC,14640,11,22,50.0
Port Adelaide,2010,SA,26786,10,22,45.45
Richmond,2010,VIC,12364,6,22,27.27
St Kilda,2010,VIC,17678,17,26,65.38
Sydney,2010,NSW,23300,14,24,58.33
West Coast,2010,WA,56066,4,22,18.18
Western Bulldogs,2010,VIC,10926,15,25,60.0
Adelaide,2011,SA,19762,7,22,31.82
Brisbane Lions,2011,QLD,31652,4,22,18.18
Carlton,2011,VIC,16370,15,24,62.5
Collingwood,2011,VIC,10864,22,25,88.0
Essendon,2011,VIC,16370,11,23,47.83
Fremantle,2011,WA,54982,9,22,40.91
Geelong,2011,VIC,19964,22,25,88.0
Gold Coast,2011,QLD,38012,3,22,13.64
Hawthorn,2011,VIC,12172,19,25,76.0
Melbourne,2011,VIC,9630,8,22,36.36
North Melbourne,2011,VIC,18648,10,22,45.45
Port Adelaide,2011,SA,26742,3,22,13.64
Richmond,2011,VIC,10926,8,22,36.36
St Kilda,2011,VIC,14920,12,23,52.17
Sydney,2011,NSW,23768,13,24,54.17
West Coast,2011,WA,65212,18,25,72.0
Western Bulldogs,2011,VIC,16438,9,22,40.91
Adelaide,2012,SA,23102,18,25,72.0
Brisbane Lions,2012,QLD,35720,10,22,45.45
Carlton,2012,VIC,17630,11,22,50.0
Collingwood,2012,VIC,13778,17,25,68.0
Essendon,2012,VIC,12172,11,22,50.0
Fremantle,2012,WA,65204,15,24,62.5
Geelong,2012,VIC,19834,15,23,65.22
Gold Coast,2012,QLD,34566,3,22,13.64
Greater Western Sydney,2012,NSW,21110,2,22,9.09
Hawthorn,2012,VIC,8178,19,25,76.0
Melbourne,2012,VIC,16126,4,22,18.18
North Melbourne,2012,VIC,18622,14,23,60.87
Port Adelaide,2012,SA,23580,5,22,22.73
Richmond,2012,VIC,12364,10,22,45.45
St Kilda,2012,VIC,14920,12,22,54.55
Sydney,2012,NSW,24536,19,25,76.0
West Coast,2012,WA,61002,16,24,66.67
Western Bulldogs,2012,VIC,11990,5,22,22.73
Adelaide,2013,SA,23786,10,22,45.45
Brisbane Lions,2013,QLD,34864,10,22,45.45
Carlton,2013,VIC,15038,12,24,50.0
Collingwood,2013,VIC,13612,14,23,60.87
Essendon,2013,VIC,15048,14,22,63.64
Fremantle,2013,WA,67372,18,25,72.0
Geelong,2013,VIC,14618,19,25,76.0
Gold Coast,2013,QLD,30234,8,22,36.36
Greater Western Sydney,2013,NSW,20694,1,22,4.55
Hawthorn,2013,VIC,9486,22,25,88.0
Melbourne,2013,VIC,13742,2,22,9.09
North Melbourne,2013,VIC,17630,10,22,45.45
Port Adelaide,2013,SA,26442,13,24,54.17
Richmond,2013,VIC,15048,15,23,65.22
St Kilda,2013,VIC,14676,5,22,22.73
Sydney,2013,NSW,33064,16,25,64.0
West Coast,2013,WA,54982,9,22,40.91
Western Bulldogs,2013,VIC,14008,8,22,36.36
