City,State,Month,Month_Num,Avg_Max_Temp_C,Avg_Min_Temp_C,Avg_Rainfall_mm,BOM_Station_ID
Melbourne,VIC,March,3,23.9,13.3,50.1,086071
Melbourne,VIC,April,4,20.3,10.8,57.3,086071
Melbourne,VIC,May,5,16.7,8.7,55.7,086071
Melbourne,VIC,June,6,14.1,6.9,49.5,086071
Melbourne,VIC,July,7,13.5,6.0,47.5,086071
Melbourne,VIC,August,8,15.0,6.7,50.0,086071
Melbourne,VIC,September,9,17.3,8.0,58.0,086071
Perth,WA,March,3,29.8,16.0,16.5,009021
Perth,WA,April,4,25.7,13.0,39.0,009021
Perth,WA,May,5,21.9,10.4,95.9,009021
Perth,WA,June,6,19.1,9.0,153.8,009021
Perth,WA,July,7,18.0,8.1,154.0,009021
Perth,WA,August,8,18.7,8.1,119.1,009021
Perth,WA,September,9,20.4,8.9,72.4,009021
Brisbane,QLD,March,3,28.1,19.5,138.5,040223
Brisbane,QLD,April,4,26.3,16.9,90.4,040223
Brisbane,QLD,May,5,23.5,13.8,98.8,040223
Brisbane,QLD,June,6,21.2,10.9,71.2,040223
Brisbane,QLD,July,7,20.6,9.5,62.6,040223
Brisbane,QLD,August,8,21.7,10.0,42.7,040223
Brisbane,QLD,September,9,23.8,12.5,34.9,040223
Adelaide,SA,March,3,25.6,14.6,20.6,023034
Adelaide,SA,April,4,22.3,11.9,33.5,023034
Adelaide,SA,May,5,18.6,9.6,52.5,023034
Adelaide,SA,June,6,16.0,7.7,57.1,023034
Adelaide,SA,July,7,15.0,7.1,58.7,023034
Adelaide,SA,August,8,16.0,7.7,50.1,023034
Adelaide,SA,September,9,18.3,9.0,43.8,023034
Sydney,NSW,March,3,24.8,17.6,131.6,066062
Sydney,NSW,April,4,22.5,14.8,126.5,066062
Sydney,NSW,May,5,19.5,11.6,117.4,066062
Sydney,NSW,June,6,17.0,9.3,133.1,066062
Sydney,NSW,July,7,16.4,8.1,96.3,066062
Sydney,NSW,August,8,17.9,9.0,80.2,066062
Sydney,NSW,September,9,20.1,11.1,68.1,066062
Hobart,TAS,March,3,20.3,11.0,44.1,094029
Hobart,TAS,April,4,17.4,9.0,49.4,094029
Hobart,TAS,May,5,14.6,7.0,47.4,094029
Hobart,TAS,June,6,12.1,5.2,53.6,094029
Hobart,TAS,July,7,11.8,4.6,51.9,094029
Hobart,TAS,August,8,13.2,5.3,54.0,094029
Hobart,TAS,September,9,15.2,6.5,53.0,094029
Gold Coast,QLD,March,3,27.5,19.9,210.9,040717
Gold Coast,QLD,April,4,25.6,17.1,157.5,040717
Gold Coast,QLD,May,5,23.3,14.0,132.2,040717
Gold Coast,QLD,June,6,21.1,11.3,124.8,040717
Gold Coast,QLD,July,7,20.8,10.1,74.3,040717
Gold Coast,QLD,August,8,21.7,10.6,58.1,040717
Gold Coast,QLD,September,9,23.5,13.4,43.3,040717
