Origin_City,Destination_City,Distance_KM_One_Way,Distance_KM_Return
Melbourne,Geelong,,
Melbourne,Perth,,
Melbourne,Brisbane,,
Melbourne,Adelaide,,
Melbourne,Sydney,,
Melbourne,Hobart,,
Melbourne,Gold Coast,,
Melbourne,Canberra,,
Melbourne,Launceston,,
Melbourne,Darwin,,
Geelong,Melbourne,,
Geelong,Perth,,
Geelong,Brisbane,,
Geelong,Adelaide,,
Geelong,Sydney,,
Geelong,Hobart,,
Geelong,Gold Coast,,
Geelong,Canberra,,
Geelong,Launceston,,
Geelong,Darwin,,
Perth,Melbourne,,
Perth,Geelong,,
Perth,Brisbane,,
Perth,Adelaide,,
Perth,Sydney,,
Perth,Hobart,,
Perth,Gold Coast,,
Perth,Canberra,,
Perth,Launceston,,
Perth,Darwin,,
Brisbane,Melbourne,,
Brisbane,Geelong,,
Brisbane,Perth,,
Brisbane,Adelaide,,
Brisbane,Sydney,,
Brisbane,Hobart,,
Brisbane,Gold Coast,,
Brisbane,Canberra,,
Brisbane,Launceston,,
Brisbane,Darwin,,
Adelaide,Melbourne,,
Adelaide,Geelong,,
Adelaide,Perth,,
Adelaide,Brisbane,,
Adelaide,Sydney,,
Adelaide,Hobart,,
Adelaide,Gold Coast,,
Adelaide,Canberra,,
Adelaide,Launceston,,
Adelaide,Darwin,,
Sydney,Melbourne,,
Sydney,Geelong,,
Sydney,Perth,,
Sydney,Brisbane,,
Sydney,Adelaide,,
Sydney,Hobart,,
Sydney,Gold Coast,,
Sydney,Canberra,,
Sydney,Launceston,,
Sydney,Darwin,,
Hobart,Melbourne,,
Hobart,Geelong,,
Hobart,Perth,,
Hobart,Brisbane,,
Hobart,Adelaide,,
Hobart,Sydney,,
Hobart,Gold Coast,,
Hobart,Canberra,,
Hobart,Launceston,,
Hobart,Darwin,,
Gold Coast,Melbourne,,
Gold Coast,Geelong,,
Gold Coast,Perth,,
Gold Coast,Brisbane,,
Gold Coast,Adelaide,,
Gold Coast,Sydney,,
Gold Coast,Hobart,,
Gold Coast,Canberra,,
Gold Coast,Launceston,,
Gold Coast,Darwin,,
Canberra,Melbourne,,
Canberra,Geelong,,
Canberra,Perth,,
Canberra,Brisbane,,
Canberra,Adelaide,,
Canberra,Sydney,,
Canberra,Hobart,,
Canberra,Gold Coast,,
Canberra,Launceston,,
Canberra,Darwin,,
Launceston,Melbourne,,
Launceston,Geelong,,
Launceston,Perth,,
Launceston,Brisbane,,
Launceston,Adelaide,,
Launceston,Sydney,,
Launceston,Hobart,,
Launceston,Gold Coast,,
Launceston,Canberra,,
Launceston,Darwin,,
Darwin,Melbourne,,
Darwin,Geelong,,
Darwin,Perth,,
Darwin,Brisbane,,
Darwin,Adelaide,,
Darwin,Sydney,,
Darwin,Hobart,,
Darwin,Gold Coast,,
Darwin,Canberra,,
Darwin,Launceston,,
