Team,Month,Team_Home_City
Adelaide,March,Adelaide
Adelaide,April,Adelaide
Adelaide,May,Adelaide
Adelaide,June,Adelaide
Adelaide,July,Adelaide
Adelaide,August,Adelaide
Adelaide,September,Adelaide
Brisbane Lions,March,Brisbane
Brisbane Lions,April,Brisbane
Brisbane Lions,May,Brisbane
Brisbane Lions,June,Brisbane
Brisbane Lions,July,Brisbane
Brisbane Lions,August,Brisbane
Brisbane Lions,September,Brisbane
Carlton,March,Melbourne
Carlton,April,Melbourne
Carlton,May,Melbourne
Carlton,June,Melbourne
Carlton,July,Melbourne
Carlton,August,Melbourne
Carlton,September,Melbourne
Collingwood,March,Melbourne
Collingwood,April,Melbourne
Collingwood,May,Melbourne
Collingwood,June,Melbourne
Collingwood,July,Melbourne
Collingwood,August,Melbourne
Collingwood,September,Melbourne
Essendon,March,Melbourne
Essendon,April,Melbourne
Essendon,May,Melbourne
Essendon,June,Melbourne
Essendon,July,Melbourne
Essendon,August,Melbourne
Essendon,September,Melbourne
Fremantle,March,Perth
Fremantle,April,Perth
Fremantle,May,Perth
Fremantle,June,Perth
Fremantle,July,Perth
Fremantle,August,Perth
Fremantle,September,Perth
Geelong,March,Melbourne
Geelong,April,Melbourne
Geelong,May,Melbourne
Geelong,June,Melbourne
Geelong,July,Melbourne
Geelong,August,Melbourne
Geelong,September,Melbourne
Gold Coast,March,Gold Coast
Gold Coast,April,Gold Coast
Gold Coast,May,Gold Coast
Gold Coast,June,Gold Coast
Gold Coast,July,Gold Coast
Gold Coast,August,Gold Coast
Gold Coast,September,Gold Coast
GWS,March,Sydney
GWS,April,Sydney
GWS,May,Sydney
GWS,June,Sydney
GWS,July,Sydney
GWS,August,Sydney
GWS,September,Sydney
Hawthorn,March,Melbourne
Hawthorn,April,Melbourne
Hawthorn,May,Melbourne
Hawthorn,June,Melbourne
Hawthorn,July,Melbourne
Hawthorn,August,Melbourne
Hawthorn,September,Melbourne
Melbourne,March,Melbourne
Melbourne,April,Melbourne
Melbourne,May,Melbourne
Melbourne,June,Melbourne
Melbourne,July,Melbourne
Melbourne,August,Melbourne
Melbourne,September,Melbourne
North Melbourne,March,Melbourne
North Melbourne,April,Melbourne
North Melbourne,May,Melbourne
North Melbourne,June,Melbourne
North Melbourne,July,Melbourne
North Melbourne,August,Melbourne
North Melbourne,September,Melbourne
Port Adelaide,March,Adelaide
Port Adelaide,April,Adelaide
Port Adelaide,May,Adelaide
Port Adelaide,June,Adelaide
Port Adelaide,July,Adelaide
Port Adelaide,August,Adelaide
Port Adelaide,September,Adelaide
Richmond,March,Melbourne
Richmond,April,Melbourne
Richmond,May,Melbourne
Richmond,June,Melbourne
Richmond,July,Melbourne
Richmond,August,Melbourne
Richmond,September,Melbourne
St Kilda,March,Melbourne
St Kilda,April,Melbourne
St Kilda,May,Melbourne
St Kilda,June,Melbourne
St Kilda,July,Melbourne
St Kilda,August,Melbourne
St Kilda,September,Melbourne
Sydney,March,Sydney
Sydney,April,Sydney
Sydney,May,Sydney
Sydney,June,Sydney
Sydney,July,Sydney
Sydney,August,Sydney
Sydney,September,Sydney
West Coast,March,Perth
West Coast,April,Perth
West Coast,May,Perth
West Coast,June,Perth
West Coast,July,Perth
West Coast,August,Perth
West Coast,September,Perth
Western Bulldogs,March,Melbourne
Western Bulldogs,April,Melbourne
Western Bulldogs,May,Melbourne
Western Bulldogs,June,Melbourne
Western Bulldogs,July,Melbourne
Western Bulldogs,August,Melbourne
Western Bulldogs,September,Melbourne
